RefDes,MPN,Manufacturer,Qty,Description,Alternate,Supplier,Quote,Link
W39,A-2186-2,Brady,2,"Label, 1"" x 0.5"" poly",,,,
T55,770520-1,TE,3,"Terminal, 18-16AWG, tin",,DigiKey,0.14 USD,https://octopart.com/opatz8j6/a1?t=VD81NyTW4Xh-0Dv2yKdOvEEWufCb9e72Y3bn8Fojeb4dwY1ijzCjuvsmm7rKdXRa8n9II7d65WxxKfL6Im655kkwMiuf2Wr6LcTTnkw6AuEP6joJJztDcVVjVyrNWEtHKoqZmU2vsZLI_1PkfAjeW5yAcmBKpD1vWTmkivDcMVxx_yiGBYi4Xdaa_1mloujTeJhovi4Y9Ko9A05oahuQ-B2ysvg_BsDqCmfELd2U15-dh9VQ9Mco-pZzF8pE4DCZAwCs_Xs
LBL2,39-01-2025,Molex,2,"Shell, 2 pos, no contacts",5557-02R,Avnet,0.1082 USD,https://octopart.com/opatz8j6/a1?t=nm3276Anyj3woAFQuxFddHm5ouquJpqirg2bDeAXzGsZfP-4qgSbyBvjJOYshK5VuQqqQbciZwmRhlbeF1sUArvBZ0SYZwfCYQabb7yMdtwaCvS7_AbhLyh_N-BXeOo6s9iP8R4b46ZJJP2BEfEMGz8YNgQo_PNZAlIclK11MsGAGrNME3f1rM2pSHNXK7Y97clC_k1MFD712CpS3VIaADiJvZHQFMMsQEet9DqZ0SuNGwZ0lIiCkZ31MokUrQjkVZM
W69,39-01-2025,Molex,5,"Shell, 2 pos, no contacts",5557-02R,Avnet,0.10312 USD,https://octopart.com/opatz8j6/a1?t=SMzic4vyT-4UvB6eFZzVM60GKXVu7Qq-qP8oH-EuGpBNcP7_Y_R173jqFl4GZLb_BJCzMaEnpKhkQnxwYa1E74okSBer2V-11zRPf9QZRQ68KyPJ8XjtpFe5ImebTjnsuW0NpKOBZGTC7UVu4CyyKooEP7kX7Ag0cet46utsnwIO3simWTctVbwV8aKKzLQS_6JgXIzSItFqMb0f56cxBBQU0KdLmvuaW-hh-8jGJ-4AX83ioW2BpyY0mpHUhTwdikE
LBL27,CUST-WIRE-14AWG-BLK,Customer-Supplied,4,"14 AWG wire, black, stranded",,,,
T91,39-01-2025,Molex,4,"Shell, 2 pos, no contacts",5557-02R,Avnet,0.10497 USD,https://octopart.com/opatz8j6/a1?t=OJzBqOmXmAyJtmjly3oRFZBV0QlSsrD-CwnguhSFP6e2E_mRsAVMwqFt86gMwDHGdA5-tZ7veMrFhOFIT9Cfma0N68fiJHMG1UIA6pdIr5I7Afja51hsjh8Y-jXjMWEzPNaHE66k4Z_vB1CjgbhAfMTbzar6lss_GZK9P4Mh7E4_o36-gt0YkuRidlG0Rt9REb9sQGyn53BidiLjEW4eZMpbvb1V86YwejSVZPOUBwbnRSO4HJlMGFM8HKsQVrxPSA
LBL93,123456,Brady,1,Placeholder PN,,DigiKey,16.99 USD,https://octopart.com/opatz8j6/a1?t=H_FiCDHyEq0as1zPrGe2Z9NEG_k87gYEZYaww5TyyN21E1ywZck7gOY8RjYGFy_8-Sc-m5JpC7321f3EYAGwM5GLwgf2S2ZOUOtpBAf8BHwWYtWV-3H7xqeLk_TvhsuwM9fb_lUKXPkLXqZHB9NaDaQ06wdzW47YmzGpSCgSStsD6PfW0OLZpEpFZA73x1KJDikWE-zTNMYwJnTnbSm-w_NiAXOE3V7Iy588mZ37GoNyDGy5DnbnETGZJqC_fyfvJitE4Ns
LBL46,123456,Brady,1,Placeholder PN,,DigiKey,16.99 USD,https://octopart.com/opatz8j6/a1?t=xumVQmu4_-5IPEP24h-RiMMhO__ss5ZgEyCYZz3vjyWDyOMvJbWLzf11ED61ysH-5JbWdYTAMWQn8MZZtYKV08tfpqBDP46ekJAECGpmIxcnQtR-z5aVY--HZQiYqKg3BnPmGaAYZHX-MQMTejp1vParbrjM9rIy_9FEAtnqpOV5DAsDYvSF73lcxsOr_7qa3odz8SnPpaX2BqYDyDfD3eCgDiY9V4oDxelq_NaCIwx-i_5lIMNRao3zNJdJ2SSv2rbi7Ps
LBL99,39-01-2025,Molex,2,"Shell, 2 pos, no contacts",5557-02R,Avnet,0.1082 USD,https://octopart.com/opatz8j6/a1?t=3hs23AFgcVFkm4tMmHvjNyJxIVb92kX6xUKk51zmFlD4bqXAzhyCfPfNBkLHDpj7ofnQKtHsYKi-IoZ8scKwb4GUqvb6aTzIMpI9D6glTKbFOnVxawVPBgkatldpg8pVk2-p4GUEaRHqUTkH3U3PwB1gPegrJs0WIbRakG50LQOSKQEQtIvsGadNHtbLkO27I7x7i0DkRnJYxnvLYKaTWkOlTJ0h8JcPeKfMfcu0D1dzAIcE3X8vG67H1k49uMXs3AQ
LBL83,CUST-WIRE-14AWG-BLK,Customer-Supplied,4,"14 AWG wire, black, stranded",,,,
W55,171864-0000,TE Connectivity,4,"Terminal, 22-18AWG, tin",,,,
T26,A-2186-2,Brady,5,"Label, 1"" x 0.5"" poly",,,,
HS24,39-01-2025,Molex,3,"Shell, 2 pos, no contacts",5557-02R,Avnet,0.10497 USD,https://octopart.com/opatz8j6/a1?t=2MM921KcYiQfajfhXp8uT3BhJg7mst8MDukqhoURIQH8GVikhamq0JhDOednkcSNXTd-5dJE8M9uOvHJ_TSp4h_9UzQ5AcvthbrPLrSi6mwLP3wmK8Py_6KK29r4MuicEUuY3LoU-01G1TWy-L4kuyeC9koCFkKRYIrZHQaPg71S5f1d7vcB3P134xP1EuDokzBt-30JZrfeP7eBndJt5Os2LMiiyZkjlbn4a5_GqBbV1wpUyMSuxh1ZlRqntHQ6yCU
T12,39-01-2025,Molex,3,"Shell, 2 pos, no contacts",5557-02R,Avnet,0.10497 USD,https://octopart.com/opatz8j6/a1?t=xoa7sha8YeJHbZ9dh86wLWoN-vYPzrkJmU_0YvtAe81wgJpF-5yfYWR2nxnyRyo-TZpbLk8yixgR_tZBu8o2PWjYpd5uPHibj3QTQFB1S8OXmgGrfNK6YiB9USwgp_yRlfNrVfMe8lwWTrhZmu4ytB2GIHWohx5epe4cu2g7HHyDGzZT4QjCvwu1Dj3KfkqxrkkwXYcAu7LfV8iDX54hw18t_D13ibXS03TO2YDOP7U-DZ8ISF76Hy1DF0OP0nJVOCY
LBL2,171864-0000,TE Connectivity,3,"Terminal, 22-18AWG, tin",,,,
T47,CUST-WIRE-14AWG-RED,Customer-Supplied,5,"14 AWG wire, red, stranded",,,,
HS53,171864-0000,TE Connectivity,3,"Terminal, 22-18AWG, tin",,,,
W76,39-01-2040,Molex,4,"Connector Housing, 2 pos",39012040,Avnet,0.11501 USD,https://octopart.com/opatz8j6/a1?t=PF8K5mattGoR9NqG3hivxg9FlaaNaY_UQo7KFfgsmgn0RibhOJ6pqjj1MXWiZoZs4Vdxz8Qg-kcxtai8cmqV-EfcQ1dNruHStuTmmzhMei49I_lldXVqbHtEqSbh90c8REpTkQYH1BtkwjpskCrG8bmp1xYdk4XDTY8PIj1Q3AJJeuHTCcz5aok9b4_mEkHfN-f6Qa1iYG-sYjLU6DdIiID9althgPQbRO-MdTiS18d0safF8ukIydpqsUdTDag8Dg
HS91,,,4,Unspecified wire (TBD),,,,
W33,A-2186-2,Brady,5,"Label, 1"" x 0.5"" poly",,,,
J36,123456,Brady,5,Placeholder PN,,DigiKey,16.99 USD,https://octopart.com/opatz8j6/a1?t=6W2USSySaCqpLbiD36BeBs731xiQCor9xJ42LsjHncmCK_fSRfzHLA3gNAolm7tWhss8n98poXEeiwaz9YsXMtjV3qnfGp2VISTgaKEgsr-Tt0o458nT8mNqxEkNxatXCv-XMgORqIaNprnWDhfJGOPD0GKoUt7vHc9E4CSUrE2jjn05oigJBbJwOl4hXOobCaccipwowVI0gHWk5c9nucrI61Juwbk2VsBBalD0LJZoZGH3QinvrYRbS0_cHblpNu_EIPk
T97,39-01-2040,Molex,4,"Connector Housing, 2 pos",39012040,Avnet,0.11501 USD,https://octopart.com/opatz8j6/a1?t=zszaBFaWIeC6-BcKXn3pQVcvigJTqDDIriphNF5IOqjbz7qd5DTs4DluD2NXfBCjw3Mtl-PGMTOCESil-yXJZ5_j9dk_dnIfiqeKh_lhLhQ6cbhB0N4eeKCP4od78O2WVW2D39dbSRj11Su3jToMnz-XprNOHwRaZV-vnsQaiKvx8h1rEMwA7it5MeJLBqNCxjgi8X43E4BTX-b6RoZA3uh-bovYoEr1kpCVvKG7Za7M65-Rim_tNuw6X0ceoIZ05w
T86,39-01-2025,Molex,1,"Shell, 2 pos, no contacts",5557-02R,Avnet,0.1082 USD,https://octopart.com/opatz8j6/a1?t=kT2UWbmdDhcJprkir-0vVH-2h3vefhVvXS4CaxRErnufQrtz_CSn3P_xwgp8q0Sk528MA3g5Lu0qhaTpEt146lsjb83W3_VccdYCl5fBKiFbXZgTaR9zippo_fwHgcLcprMOdqNYqF6ClHaad7q2HZbh_X2k2u116zU8mrhTpMrhSN-3-xAXrlBhoOFjPdMhYmRZsrb-VH8GnAAdiSUOb8G5ImLqhjT4Fy51o465Se7gvZFif1nIs9a2rKbl-lQjlSU
LBL88,770520-1,TE Connectivity,4,"Terminal, 18-16AWG, tin",770520-1,DigiKey,0.1036 USD,https://octopart.com/opatz8j6/a1?t=XykEu-YtCxbzdxO874VlR701iIqxI7D9cMKdBy5rdDkG4jgeA82TONLfvh8cHgiE53lLqvWavpLRGbhDXfwCLXXIwIQk3TBPhVG8BgjfIyzmpbg_3XAzQM4GuNkM-5ovUYJ0pt8a5NuJ-bCqwwIGiD_DP5eGIHs96GgWOwRqkWuFfHfk-KIXAFmol1YuhGmvKalocyjv-m9BY4sK85SdPNncLpaQcXpP7X_IYOkpo1o2LCAGGtWPq52yYMvqrNz0mwfWdZk
HS92,A-2186-2,Brady,5,"Label, 1"" x 0.5"" poly",,,,
HS86,39-01-2040,Molex,3,"Connector Housing, 2 pos",39012040,Avnet,0.11501 USD,https://octopart.com/opatz8j6/a1?t=Gw02wcmMRKrCJeMw8zfUuJvZ4vPW78bU1yX1i8OK6m8DhXDuveGK7bJeJBApIyREp4KYoxib6ySO6FOo0NAi0pAtn5l7sY_KBONukN8nTHkiiTCmqABGA63INiuwDq4uM4Y87DXKRZYX_guE-ZKWYVlXi_umcCSi5fe5_zCpdWp5j-I0edS1JydkXbAAzDbT9YG8QrKsahNQdqXNuzk3bndazpjBgavU9r-cm-dHP_QctPFi_YeDF_4Zf0NHVLS6_A
T7,770520-1,TE,2,"Terminal, 18-16AWG, tin",,DigiKey,0.14 USD,https://octopart.com/opatz8j6/a1?t=qM2ze36Za1aJ-Di0T5ISnNtSHosCNhLizKtvsaC_rTh6xxlCNrfy1oBtuwuhn8YWAX4ojiAxM_8Ktsl8iOpB7qQ1KMLtHcTomrvIrakiBGd1dZqOgzsNsmw7NNyJOlIMgDLcaQQFaqHgG-mFa9PadWMKR3kP8_AilZYCcqdX-m7-1RzVI7C20lN8kBuohMDhHEbj75C8ZMAAsG-B2lQVBv4D7TF5h6vswzF0XcIaREhFy4YF2n_AMf6FTfT2JJK1klE8t6g
LBL23,RNF-100-3/16-BK-SP-SM,TE Connectivity / Raychem,2,"Heat shrink tubing, 3/16"" black",RNF-100-3/16-BK-SP,DigiKey,1.05853 USD,https://octopart.com/opatz8j6/a1?t=8S99lEPgMGd4H37oIGlXLywjYlaFj6TZEQr2qtfzE4c_mYcAT7ph7pyudGoftoduJEogPAAsSgLAR1LNogTP-ivar9-S2FJKDVrHmLYsk7UN-KdpxGw046YScmSCHc-49M59cIfiEjr2LSagNiW1Q-r8KJ6W6cenS82QH83JkiXUtzOu8aTHQbxvw4gyU1JwYzENfZAWE4kHRoHsbXfK91XQoRmtTacz66OJpp9r-lKsvsSAwEVrJ2yHfO85SFJdxi9TgM8
HS19,770520-1,TE,3,"Terminal, 18-16AWG, tin",,DigiKey,0.14 USD,https://octopart.com/opatz8j6/a1?t=PWX8rymHKSSe0PCnGUbxh7WW7OsLgGJDS87HIalhKR1N4Itw2swkHB5EfwLEogmJ2NwU3N6fzg3ulyXylRYse53K12wpjYqybHxdbbKODOfYf_RXfhbPAmCqV7BJqmcdyLXbuwtik49RkqSMPua5VcyIpDztO-8NRs0LHx3UhX4CCIZGhkWAXXN31UZ-tGNH8AfvofRzhyqMuaqSUknUufpGkWAPjfEnrztsSrB8fmHuYJBgdqlLH40H2uldDwNUOSsJJco
T58,770520-1,TE,4,"Terminal, 18-16AWG, tin",,DigiKey,0.1036 USD,https://octopart.com/opatz8j6/a1?t=QDVIAEXofLP2GacBymlqJ6XLFgIWtygLHzHDE7aL-QmebNt2btz7j22KdxPj_S5_l_pSvfaGbJcaCWl3VxW_XIe-jahuXFvBPdaZqJPxN9A_912g5iT5q_5xzRzez7rO2k4f9LWQgBOPiTk8uPf5bmCvf1LD_CXduYA4KXv1-5rN63uhcTJQdv60Sc_3b6T9f7JXxUL7lrNc8ovAdNWfZ0CqvEqJra1v_KlxwA7hlui217HFqXymqeucehI1koItRa0BMK8
W41,39-01-2040,Molex,2,"Connector Housing, 2 pos",39012040,Avnet,0.12474 USD,https://octopart.com/opatz8j6/a1?t=76-o6dy9QEGt0F0vX8BhxRYd3cynVvXXlDp7Qq2mjlaf0hoH5mD_oYrtKKUAQm--Tm8Fmuk08Gzw9NfhFAq1i-_PpRuHxtXvTSDzFR0xrg_0w5gA19Y8A9HKaoq6ZVyp3_K5SiRmZl7wSd62lJc-OtL610mtwY9XGZckdzbYxDqJ9wos5ZX5ngrTPlth6xaWAtnfSMB8iavkeRrCKgBm50ut8qWZ4WH7AUI5mOlmAGdq7TIv9I2-H1t7azzIAG1W_w
HS56,RNF-100-3/16-BK-SP-SM,TE Connectivity / Raychem,1,"Heat shrink tubing, 3/16"" black",RNF-100-3/16-BK-SP,DigiKey,1.05853 USD,https://octopart.com/opatz8j6/a1?t=Y0KTe_j-nCALIlMZjpC7tSzHFH9W3FJveGSvZyxhRIQLVLaAVUe6QtidkykcNMjvsP59I8CE4oOVkNyfDKR9o_iHTJVGnoOpnylgvys7967848uqpU6c9_xt-XqvdqmXCKkOORapt6BQtk_lYz3d6CHo1tiUJYuSjThOzHXhgC-K-zrY8OOGqU_SDccUZLqvnb0_l729qUdHMd6Zty80DEHzlgPfa3ORf-F--OU7MWyUZ8NSi28h85LipXzZTeGYmxpk4bE
LBL34,39-01-2025,Molex,3,"Shell, 2 pos, no contacts",5557-02R,Avnet,0.10497 USD,https://octopart.com/opatz8j6/a1?t=t0SwZ4VSMzZw5Exv_UlpwrcdH7uATaayahvvUNZGTFIMl9DzrYqRuFqaq2fmO7tzDRLPkRFB8noztdMkauSgpPNNoHWvv0cjILPvhSRgD2vDWlConJywf6_DdVQ0kgN8NX-FduNAHyOKd6f6L9VhQyC7OZ6VpWSjCX5-brqp5v9Fi10gimgckWQ1PjZJ_l3KjUbKzr71f2vZDNx3SmqWmSkLjmCmoscb8ML1Rlc5MRrZc1mJy9nBIllqUpvdtK2Vbow
J89,A-2186-2,Brady,1,"Label, 1"" x 0.5"" poly",,,,
HS38,171864-0000,TE Connectivity,5,"Terminal, 22-18AWG, tin",,,,
W76,39-01-2040,Molex,5,"Connector Housing, 2 pos",39012040,Avnet,0.11031 USD,https://octopart.com/opatz8j6/a1?t=H3ThHrSD7HUlryoZox647ADvwB7P7olSL6E9X2dB0aiUxCie0Snr5ZAEK27XNP2wUjvZoZfb87N71Q71RkiyNXsOMJa7t8LFGKMxf9Pyszy4XlwfsMsgVcdEtbhV5nLlwnAmXai9g0h29P-mo3V4-ywlaKcQancz8vcLpfnjFn9yXlPT-cUHXh_n07VUcZYJ2nECSOskfvekyxnXcWykc3vOepsGUU-z5nAf-7gLdtIX6G5Scpe14LSGlRUVO-0qgA
LBL61,CUST-WIRE-14AWG-BLK,Customer-Supplied,2,"14 AWG wire, black, stranded",,,,
J2,CUST-WIRE-14AWG-BLK,Customer-Supplied,3,"14 AWG wire, black, stranded",,,,
HS12,171864-0000,TE Connectivity,4,"Terminal, 22-18AWG, tin",,,,
J39,CUST-WIRE-14AWG-BLK,Customer-Supplied,1,"14 AWG wire, black, stranded",,,,
W36,CUST-WIRE-14AWG-BLK,Customer-Supplied,4,"14 AWG wire, black, stranded",,,,
HS6,123456,Brady,5,Placeholder PN,,DigiKey,16.99 USD,https://octopart.com/opatz8j6/a1?t=BgSMoZZMhWZPW4-XRZkFrdAHf8JM9GQhE9QY76TZvhjnnQNXjA_GahrcoogG1uLiXJpF3WDRI5FjUDcshte0cInrEBKQhKlaZ2RExG_bhScHCWDw2i8m6EQ9blGGoacqrsH47pGIW_Q5SF8pbrs6aOg8sdXevft3dmH-aId4JylHpdw2Mq1C7DW19bA3qslYoW28ILm2_ElPH3jyqw4b4mHXThIC5jJYoCMlL8L_ZOk3I5I-jFTMfnASKEjNiryV_xg4hqo
T51,171864-0000,TE Connectivity,2,"Terminal, 22-18AWG, tin",,,,
HS21,770520-1,TE,2,"Terminal, 18-16AWG, tin",,DigiKey,0.14 USD,https://octopart.com/opatz8j6/a1?t=nS4JYdzd8eniTZhgVjYdAiEDjNPxF-Du9B018rt08JGlPnqVjT0SdMHAEfyIUpcP13VwvFGt64xMPYNPzoXlMWNRFBKSBUoNI18keesHHZ86PNVsWEm3PV9Rp1Nck3fP9qlRQG3nKVBupQD9PNBJUJhkxB4wT6dADh68BZxULRuhS8um0M0kQRXjGXD_WPe8v9pJsTpfkZJM5cYmDO4dJtBDrk9dlmE-UYXT5g8H300CKuciCaPlrp4mKv1FCMoZ2UP_rkk
W40,770520-1,TE,2,"Terminal, 18-16AWG, tin",,DigiKey,0.14 USD,https://octopart.com/opatz8j6/a1?t=ubOTLvG-6F4J_fpszjxyqYCzoi1U2if7d4vlGNKmFi6tinwQetZoeM8d2qM0WLFlySQPO8P2m_SsqabPQhp1_k33sk4keAvboW3fuOoXzWHerpsmzVCNkfOkigtZsKOmqgMuUuZ17s0YF8HKMPH0RoKLKNaKkg0uZMGE0KY0zhf9jUra2y3D4hy0iS_3yPTfSHt4SyhYaUzeTPSfIuTzP0LxX4zt_FF9Slwnb7v7IB_NHIPnrjk35x6LvOejb0T-XIft82M
LBL26,A-2186-2,Brady,4,"Label, 1"" x 0.5"" poly",,,,
J16,39-01-2040,Molex,3,"Connector Housing, 2 pos",39012040,Avnet,0.11501 USD,https://octopart.com/opatz8j6/a1?t=_yd93_BD86a1Z1R6bJxyAxfUghE8KMUT3nVeniC08V7w5J6oRogQT7xea0WFxwL0brVmrFLGT2OIEDehkRCt4lAlRz-AlJBddy5M2JGM4dO9BvfpijZ1OPUqqR_MvPU8Uc72YEPaOLH6IWKJikV6c-2-4-xaDNOomjgatM5eRWo-WcxI7lyLj_q8IzUrJewcGNRAHusUSxFm3HhQ7_qZ--VrDLZAPRXx5DQaBz_qURHv8vMMXctMQJn5Ti2h7Tilxw
HS57,770520-1,TE,4,"Terminal, 18-16AWG, tin",,DigiKey,0.1036 USD,https://octopart.com/opatz8j6/a1?t=T0MIpZy-Z2bTLqAvlPk8uK-opF3VsJAAD5B9-1fdqzcTSEC6ohQGcNJLRG3lECoJWh9HazMK99FCTzU7Bo-Pyd4TDYSYPXJt-JGH_QYh9ch_UmA4UCU_Rcxs23GxVYw7pGwbpcy-9PMD_y9lc9Vrr37v-6Nq8AyAlrhgQVm4EEHzBhaqVDlFkqWuAHkUaMsQ3p4zFHgR28ijkcuFuqBgrAbeK6EuA2HQ0HPFpwNyGTFeSHDom9_2JBiVpMMKBDEh2H6SFJB4
J59,A-2186-2,Brady,3,"Label, 1"" x 0.5"" poly",,,,
W98,171864-0000,TE Connectivity,5,"Terminal, 22-18AWG, tin",,,,
T97,,,2,Unspecified wire (TBD),,,,
T97,,,3,Unspecified wire (TBD),,,,
LBL32,39-01-2040,Molex,3,"Connector Housing, 2 pos",39012040,Avnet,0.11501 USD,https://octopart.com/opatz8j6/a1?t=ldBne7dhnjx8m1Db8etoTgYMdQ-d8irz9FX6gID9mMGP5lZkIInaI92bZT1S__O0pVQNgi9KVPfenAc64FEVwpV2O__H3h_NSp0UB2xDhYaisb1ckf1YFMUB9UB60voqSJfx0gbLO33W3-wIX6kjlAh9VdIEf7PGGtEVAkqWTJRkRSuzprWBiMh3AR_HCZHcBXnV21KX-J5xTPodCZqeGRM6LcBn3RzPD_09ixTB84bRHyejf6NBHooPlsECQTMKjA
HS20,770520-1,TE,1,"Terminal, 18-16AWG, tin",,DigiKey,0.14 USD,https://octopart.com/opatz8j6/a1?t=2YwulvwmR3vFIC84AORFtWxwf6vluOC197gXNEkyYmOSJh2GVbRch944c8kq2vuevPfSpdKL4d5uzMS3qVUfRXeoAN8Ch1mYD29gDfPxWjGbTDrKH_uMuqd8dstYymBcj6Y3Q1X8BLNcpnvI5fUHOBv4zZGDSsCEZ5CvBjvLPigdy3qaEblOCZsont8V4FZgbfTXQcUIkndn_t4-rmcqemkvyTcCrC7OFJ2kINJerS1fOp55ZcoyNHu8EZuDNVS4u2JsssA
T13,CUST-WIRE-14AWG-RED,Customer-Supplied,4,"14 AWG wire, red, stranded",,,,
HS65,39-01-2040,Molex,5,"Connector Housing, 2 pos",39012040,Avnet,0.11031 USD,https://octopart.com/opatz8j6/a1?t=PHsd6Xmu3qgaTXJ3uszmp_IUN6tzGiG3wKM9b3Nogg_K2tYyeiWN2KC2oXkqTjc9U39kSp6mKW38lZszrKQNQZrzmOJ_DYvlaH8cyz1wZLUGxbCJc_glpduxXyCvQjSbdo1b6vULXpWH5UUynyT68t53Nw8Zdayx_-N4Ix4rNHy0ocziJxa_3wy4gRKQ_sal4zAWN8ZuxJjcauXQPXk9qCnLATyXhO49GZVSYlYsYL4ZHRJJQ3m51YsOFXkitpOWNg
T19,A-2186-2,Brady,3,"Label, 1"" x 0.5"" poly",,,,
J95,39-01-2025,Molex,5,"Shell, 2 pos, no contacts",5557-02R,Avnet,0.10312 USD,https://octopart.com/opatz8j6/a1?t=B3z0NJqbepREm2aqboAViC8t81Bvd1Wn-zMykWKshUBJC8BIgDz4lCzgiCtnpaZFWxfNl-slt14Ne2cuzN5djN1m9V4PASl7ctgJsGKA8CSiaNtYJrZXBaziIyTzz_n77mCos9yen2qbmZJntfWa9cU0CMRkgExFjI41S8HE_KjsuXnORU6Pjl6FJ-lXQ-K6zzVy-KiT3LKwqxdOzykftPPeGMz6qPaFCJnM4JeFieWzTawzuPj6ly4wZBACqpWbsdQ
J9,39-01-2040,Molex,1,"Connector Housing, 2 pos",39012040,Avnet,0.12474 USD,https://octopart.com/opatz8j6/a1?t=qnVrPn2TJR-lXXSXYUaJfSTgoTvCfbmmDqa5LPOy1VeF3PmbCoo15Ri1sZeBiTdkKVPN32HuK2M48Zsm_4uBwN3pwkfGDb1EB4X9y9sDWM354zZ9mXC_7bSehtDkKISyeLFgcmscMczCLR48ARwCC6W8lXXFoZxJUQXvnFtaB1_a-Isw-rw6QJZ5vjUmruH9txxv-rB1-JZYERHmEYmA6v9EEgUp-JvDN4dqz0y_PvuOoUhqVPoZIz_2YSepDqrRUw
HS81,39-01-2040,Molex,3,"Connector Housing, 2 pos",39012040,Avnet,0.11501 USD,https://octopart.com/opatz8j6/a1?t=IoQwFnUZJCuWjeIDYInSOSoGMR1WQhKh_L3kt3btwFWONRrq260gpE_6bgWXJ_lR0pSnjJ6ZJrQPrks5fXJprnxmK9r1nHK2RgHuoTE_mgSpoLeDHsgt6FvLDWUIT86l0_X_WWrdFxXrDuU9L7eKMK1edBQt6MKNtfWe5pSZqO7wZ_OQKx0v6ExexatQewzLJqUyNrY_lvKSdmiuS0hgQ72WrWkcyndIk0I0L3wZDLWCrknqNU95ECwvzjQ_rt_gEA
